from,to,overlap_with_lecture_perceptions
16,8,0
16,13,0
21,16,0
21,20,1
19,5,0
15,17,1
15,19,1
11,5,1
11,8,0
11,12,0
11,13,0
11,16,1
11,17,0
10,1,1
10,2,0
10,3,0
10,6,1
10,8,1
10,9,1
10,12,1
10,14,1
10,19,1
10,20,1
10,21,1
20,16,0
20,21,0
8,11,0
8,12,0
8,13,1
8,16,1
8,17,1
8,20,1
8,21,0
14,1,0
1,14,0
1,15,0
5,19,0
2,1,1
2,15,1
3,1,1
3,14,0
13,8,1
13,11,1
13,16,1
9,6,0
9,10,0
6,1,1
6,10,1
12,6,0
12,10,1
12,11,0
